Variable 1,Variable 2,Pearson r,p-value,Significant
Sperm_Concentration (million/ml),Male_Age (years),-0.031,0.6203,No
Male_Age (years),Male_Tobacco_yes,-0.032,0.6148,No
Round_Cells (million/ml),Fertilization Rate (%),-0.032,0.6146,No
Sperm_Morphology (%),Female_ Infertility_secondary,-0.034,0.5919,No
Sperm_Prog_Motility (%),Donor Semen_yes,-0.035,0.5801,No
Round_Cells (million/ml),Male_Infertility_secondary,-0.036,0.5657,No
Sperm_Prog_Motility (%),Blastulation_Rate (%),-0.043,0.491,No
Follicles_Collected (#),Female_ Infertility_secondary,-0.052,0.4119,No
Male_Age (years),Male_Alcohol_yes,-0.056,0.3733,No
Sperm_Prog_Motility (%),Follicles_Collected (#),-0.059,0.3539,No
Female_ Infertility_secondary,Male_Alcohol_yes,-0.061,0.3345,No
Donor Semen_yes,Semen_Collection_Method_thawed,-0.061,0.3336,No
Sperm_Morphology (%),Semen_Collection_Method_thawed,-0.065,0.3048,No
Female_ Infertility_secondary,Blastulation_Rate (%),-0.065,0.3048,No
Semen_Collection_Method_fresh,Female_ Infertility_secondary,-0.066,0.295,No
Round_Cells (million/ml),Female_Age (years),-0.07,0.2693,No
Male_Infertility_secondary,Male_Alcohol_yes,-0.071,0.2634,No
Male_Infertility_secondary,Blastulation_Rate (%),-0.073,0.2478,No
Male_Age (years),Fertilization Rate (%),-0.073,0.2493,No
Donor Semen_yes,Blastulation_Rate (%),-0.077,0.2233,No
Follicles_Collected (#),Donor Semen_yes,-0.08,0.2046,No
Donor Semen_yes,Male_Tobacco_yes,-0.083,0.1902,No
Donor Semen_yes,Male_Alcohol_yes,-0.086,0.1751,No
Semen_Collection_Method_thawed,Fertilization Rate (%),-0.088,0.164,No
Sperm_Concentration (million/ml),Semen_Collection_Method_thawed,-0.102,0.1042,No
Follicles_Collected (#),Male_Infertility_secondary,-0.104,0.0983,No
Sperm_Prog_Motility (%),Male_Age (years),-0.106,0.0933,No
Semen_Volume (ml),Female_ Infertility_secondary,-0.109,0.084,No
Semen_Volume (ml),Male_Infertility_secondary,-0.112,0.0748,No
Follicles_Collected (#),Semen_Collection_Method_thawed,-0.122,0.0525,No
Male_Age (years),Semen_Collection_Method_fresh,-0.131,0.0376,Yes
Sperm_Morphology (%),Round_Cells (million/ml),-0.145,0.0211,Yes
Follicles_Collected (#),Fertilization Rate (%),-0.146,0.0202,Yes
Semen_Volume (ml),Female_Age (years),-0.146,0.0204,Yes
Follicles_Collected (#),Male_Age (years),-0.154,0.014,Yes
Semen_Collection_Method_thawed,Male_Alcohol_yes,-0.162,0.0099,Yes
Semen_Volume (ml),Male_Age (years),-0.163,0.0095,Yes
